,Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
194,Goku,12000.0,Saga de Namek,Dragon Ball Z
213,Goku,90000.0,Saga de las Fuerzas Especiales Ginyu,Dragon Ball Z
221,Goku,180000.0,Saga del Capitán Ginyu,Dragon Ball Z
274,Goku,180000000.0,Saga de Freezer,Dragon Ball Z
186,Freezer,220000.0,Saga de Namek,Dragon Ball Z
3,Freezer,220000.0,Saga de las Fuerzas Especiales Ginyu,Dragon Ball Z
4,Freezer,530000.0,Saga del Capitán Ginyu,Dragon Ball Z
270,Freezer,120000000.0,Saga de Freezer,Dragon Ball Z
198,Vegeta,30000.0,Saga de Namek,Dragon Ball Z
208,Vegeta,40000.0,Saga de las Fuerzas Especiales Ginyu,Dragon Ball Z
226,Vegeta,250000.0,Saga del Capitán Ginyu,Dragon Ball Z
255,Vegeta,3000000.0,Saga de Freezer,Dragon Ball Z
199,Gohan,14000.0,Saga de Namek,Dragon Ball Z
211,Gohan,20000.0,Saga de las Fuerzas Especiales Ginyu,Dragon Ball Z
224,Gohan,19000.0,Saga del Capitán Ginyu,Dragon Ball Z
252,Gohan,1950000.0,Saga de Freezer,Dragon Ball Z
195,Krillin,13000.0,Saga de Namek,Dragon Ball Z
205,Krillin,13000.0,Saga de las Fuerzas Especiales Ginyu,Dragon Ball Z
225,Krillin,18000.0,Saga del Capitán Ginyu,Dragon Ball Z
232,Krillin,75000.0,Saga de Freezer,Dragon Ball Z
