,Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
217,Ginyu (supressed),"65,000",Captain Ginyu Saga,Dragon Ball Z
218,Goku (supressed),"62,000",Captain Ginyu Saga,Dragon Ball Z
219,Ginyu (supressed),"87,000",Captain Ginyu Saga,Dragon Ball Z
220,Goku,"90,000",Captain Ginyu Saga,Dragon Ball Z
221,Goku (Kaio-ken x2),"180,000",Captain Ginyu Saga,Dragon Ball Z
222,Ginyu (full power),"120,000",Captain Ginyu Saga,Dragon Ball Z
223,Ginyu (in Goku's body),"23,000",Captain Ginyu Saga,Dragon Ball Z
224,Gohan (Zenkai),"19,000",Captain Ginyu Saga,Dragon Ball Z
225,Krillin,"18,000",Captain Ginyu Saga,Dragon Ball Z
226,Vegeta (Zenkai),"250,000",Captain Ginyu Saga,Dragon Ball Z
227,Goku (in Ginyu's body),"15,000",Captain Ginyu Saga,Dragon Ball Z
228,Goku (badly injured),200,Captain Ginyu Saga,Dragon Ball Z
229,Nail,"42,000",Captain Ginyu Saga,Dragon Ball Z
230,Frieza (calm),"220,000",Captain Ginyu Saga,Dragon Ball Z
